"imgName","lat","lng","dataTime","remark","uploader","marker","checker","label","createdAt","updatedAt","sidewalk","protective","wheelchair","occupation","walkRisk","riskRate","purpose","imgUrl","_id","rankA1","rankB1","rankC1"
4759,25.131847182163,121.503376364708,"2023-03-05T12:50:00.000Z",,"63cdfba40babfa85bf8842a7",,,,"2023-03-05T12:51:28.507Z","2023-03-05T12:51:28.507Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","私人佔用（商家、住家）","有汽車行駛","總是如此(100%~95%)","親子活動|採購日用|通學|採購食物|工作|就醫、照護","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/640490500babfae9a28aba47.jpg","640490500babfae9a28aba47",0,-10,0
4760,25.1318423255789,121.503381729126,"2023-03-05T12:59:00.000Z",,"63cdfba40babfa85bf8842a7","6402dc700babfa21f88a929f",,"符合規定|嚴重風險","2023-03-05T12:59:31.534Z","2023-03-06T06:12:58.223Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","私人佔用（商家、住家）","有汽車行駛","總是如此(100%~95%)","其他|工作|休閒|採購食物|親子活動|就醫、照護|通學|採購日用","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/640492330babfab2b18aba5d.jpg","640492330babfab2b18aba5d",0,-10,0
4761,25.1335372616965,121.501831412315,"2023-03-05T13:00:00.000Z",,"63cdfba40babfa85bf8842a7","6402dc700babfa21f88a929f",,"資料不足以判定","2023-03-05T13:01:38.002Z","2023-03-06T06:20:18.677Z","有設置人行道或騎樓","標線人行道(無實體分隔)","輪椅無法通行（窄於100公分）","公共設施阻礙（機電設備）","有汽車行駛","總是如此(100%~95%)","親子活動|就醫、照護|通學|採購食物|採購日用|工作|休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/640492b10babfa0eb18aba68.jpg","640492b10babfa0eb18aba68",1,-10,0
4762,23.7010730560842,120.547973574975,"2023-03-05T14:38:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T14:43:02.826Z","2023-03-06T03:03:12.324Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","公共設施阻礙（機電設備）|私人佔用（臨時停車）","有機車行駛","有時如此(49~30%)","休閒|就醫、照護","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404aa760babfa8f508abae8.jpg","6404aa760babfa8f508abae8",4,-5.5,0.8
4763,23.7006899229116,120.548579118838,"2023-03-05T14:43:00.000Z","","63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T14:44:29.042Z","2023-03-06T11:37:35.673Z","有設置人行道或騎樓","實體人行道(有實體分隔)","輪椅可以通行（寬於100公分）","無佔用或阻礙","有自行車行駛","偶爾如此(29~10%)","休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404aacd0babfa741c8abaf3.jpg","6404aacd0babfa741c8abaf3",8.8,8,8
4764,23.7020357960155,120.533943892761,"2023-03-05T14:44:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定|嚴重風險","2023-03-05T14:46:30.211Z","2023-03-06T02:52:49.715Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","常如此(79~50%)","其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404ab460babfa16208abafe.jpg","6404ab460babfa16208abafe",0,-10,0
4765,23.7005622116041,120.547807238305,"2023-03-05T14:46:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T14:48:41.963Z","2023-03-06T03:01:22.654Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","私人佔用（臨時停車）","有汽車行駛","常如此(79~50%)","休閒","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404abc90babfa1f278abb09.jpg","6404abc90babfa1f278abb09",1.8,-9.5,0
4766,23.7013186536802,120.546879175935,"2023-03-05T14:48:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T14:50:57.571Z","2023-03-06T03:01:48.682Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","公共設施阻礙（機電設備）|私人佔用（臨時停車）","有汽車行駛","總是如此(100%~95%)","通學|就醫、照護|其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404ac510babfa63128abb1f.jpg","6404ac510babfa63128abb1f",1.6,-9.5,0
4767,23.7024778680946,120.550640715999,"2023-03-05T14:51:00.000Z",,"63b91475181b96bcfde05222","63ad27004ee1ac2f84632863",,"符合規定","2023-03-05T14:54:31.500Z","2023-03-06T03:00:59.179Z","有設置人行道或騎樓","實體人行道(無實體分隔)","輪椅可以通行（寬於100公分）","私人佔用（臨時停車）|公共設施阻礙（機電設備）","有汽車行駛","總是如此(100%~95%)","休閒|其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404ad270babfa4a9c8abb2a.jpg","6404ad270babfa4a9c8abb2a",1.6,-9.5,0
4768,23.701608458249,120.534524899552,"2023-03-05T14:54:00.000Z",,"63b91475181b96bcfde05222","6402dc700babfa21f88a929f",,"符合規定|嚴重風險","2023-03-05T14:55:51.173Z","2023-03-06T06:19:42.089Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","其他","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/6404ad770babfaf8aa8abb35.jpg","6404ad770babfaf8aa8abb35",0,-10,0
