"imgName","lat","lng","dataTime","remark","uploader","marker","checker","label","createdAt","updatedAt","sidewalk","protective","wheelchair","occupation","walkRisk","riskRate","purpose","imgUrl","_id"
4224,22.6724975,120.481713888889,"2023-02-28T02:15:00.000Z",,"63ad27004ee1ac2f84632863",,,,"2023-02-28T06:00:01.033Z","2023-02-28T06:00:01.033Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","採購食物|採購日用|工作|通學","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63fd98610babfa842a8a5795.jpg","63fd98610babfa842a8a5795"
4225,22.6723780555556,120.481757222222,"2023-02-28T02:15:00.000Z",,"63ad27004ee1ac2f84632863",,,,"2023-02-28T06:00:58.889Z","2023-02-28T06:00:58.889Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","採購食物|採購日用|工作|通學","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63fd989a0babfa23fb8a57a3.jpg","63fd989a0babfa23fb8a57a3"
4226,22.6723024456252,120.48181507992,"2023-02-28T02:15:00.000Z",,"63ad27004ee1ac2f84632863",,,,"2023-02-28T06:01:36.939Z","2023-02-28T06:01:36.939Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","採購食物|採購日用|工作|通學","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63fd98c00babfa799d8a57ae.jpg","63fd98c00babfa799d8a57ae"
4227,22.6718016666667,120.48205,"2023-02-28T02:14:00.000Z",,"63ad27004ee1ac2f84632863",,,,"2023-02-28T06:02:17.657Z","2023-02-28T06:02:17.657Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","採購食物|採購日用|工作|通學","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63fd98e90babfad3718a57b9.jpg","63fd98e90babfad3718a57b9"
4228,22.6716875933948,120.482044839837,"2023-02-28T02:14:00.000Z",,"63ad27004ee1ac2f84632863",,,,"2023-02-28T06:02:55.241Z","2023-02-28T06:02:55.241Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","採購食物|採購日用|工作|通學","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63fd990f0babfa6e808a57c4.jpg","63fd990f0babfa6e808a57c4"
4229,22.6715988813823,120.482114206061,"2023-02-28T02:13:00.000Z",,"63ad27004ee1ac2f84632863",,,,"2023-02-28T06:03:39.549Z","2023-02-28T06:03:39.549Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","採購食物|採購日用|工作|通學","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63fd993b0babfa42b48a57cf.jpg","63fd993b0babfa42b48a57cf"
4230,22.6710913992657,120.482289531656,"2023-02-28T02:13:00.000Z",,"63ad27004ee1ac2f84632863",,,,"2023-02-28T06:04:29.969Z","2023-02-28T06:04:29.969Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","通學|工作|採購日用|採購食物","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63fd996d0babfa73e48a57da.jpg","63fd996d0babfa73e48a57da"
4231,22.6709675737715,120.482364968784,"2023-02-28T02:12:00.000Z",,"63ad27004ee1ac2f84632863",,,,"2023-02-28T06:05:26.526Z","2023-02-28T06:05:26.526Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","通常如此(94~80%)","採購食物|採購日用|工作|通學","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63fd99a60babfade0a8a57e5.jpg","63fd99a60babfade0a8a57e5"
4232,22.6709192899073,120.482478375934,"2023-02-28T02:12:00.000Z",,"63ad27004ee1ac2f84632863",,,,"2023-02-28T06:06:45.686Z","2023-02-28T06:06:45.686Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","採購食物|採購日用|工作|通學","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63fd99f50babfa54918a57f0.jpg","63fd99f50babfa54918a57f0"
4233,22.6709608726065,120.48238645044,"2023-02-28T02:12:00.000Z",,"63ad27004ee1ac2f84632863",,,,"2023-02-28T06:08:01.134Z","2023-02-28T06:08:01.134Z","沒有設置人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","沒有人行道或騎樓","有汽車行駛","總是如此(100%~95%)","工作|通學|採購日用|採購食物","https://commutag.agawork.tw/static/upload/dataset/63528cc34f042e88cc951433/image/63fd9a410babfa51f18a57fb.jpg","63fd9a410babfa51f18a57fb"
